subject,trial,rt,choice,vDiff,vL,vR
9156374,1,5.968,0,-2.25,30.0,32.25
9156374,2,3.92,1,3.75,30.0,26.25
9156374,3,4.045,1,5.25,30.0,24.75
9156374,4,4.63,1,-0.75,29.25,30.0
9156374,5,5.052,1,0.0,30.0,30.0
9156374,6,2.897,1,-1.5,28.5,30.0
9156374,7,4.931,0,-4.5,30.0,34.5
9156374,8,3.006,0,-4.5,25.5,30.0
9156374,9,3.596,1,7.5,30.0,22.5
9156374,10,3.099,1,3.0,33.0,30.0
9156374,11,3.175,0,-1.5,30.0,31.5
9156374,12,2.695,1,6.0,30.0,24.0
9156374,13,4.874,1,-2.25,27.75,30.0
9156374,14,2.885,1,3.0,30.0,27.0
9156374,15,1.769,0,-8.25,21.75,30.0
9156374,16,3.09,0,-6.75,23.25,30.0
9156374,17,3.112,0,-3.75,30.0,33.75
9156374,18,3.383,0,-6.0,30.0,36.0
9156374,19,2.056,1,5.25,35.25,30.0
9156374,20,3.406,1,0.75,30.75,30.0
9156374,21,5.895,0,-2.25,6.75,9.0
9156374,22,6.105,1,6.75,9.0,2.25
9156374,23,5.971,0,3.75,12.75,9.0
9156374,24,3.603,1,3.75,9.0,5.25
9156374,25,4.962,0,-0.75,8.25,9.0
9156374,26,4.447,1,7.5,9.0,1.5
9156374,27,5.142,1,3.0,12.0,9.0
9156374,28,2.919,0,-4.5,9.0,13.5
9156374,29,3.072,1,6.0,9.0,3.0
9156374,30,3.932,1,5.25,14.25,9.0
9156374,31,5.287,0,-1.5,9.0,10.5
9156374,32,4.386,0,-6.0,9.0,15.0
9156374,33,3.008,0,-4.5,4.5,9.0
9156374,34,2.359,1,0.75,9.75,9.0
9156374,35,2.416,0,-2.25,9.0,11.25
9156374,36,3.007,1,3.0,9.0,6.0
9156374,37,4.838,0,0.0,9.0,9.0
9156374,38,4.171,1,-1.5,7.5,9.0
9156374,39,2.411,0,-8.25,0.75,9.0
9156374,40,1.913,0,-5.25,3.75,9.0
9156482,1,5.84159999996424,1,5.25,30.0,24.75
9156482,2,4.70810000002384,0,-10.5,30.0,40.5
9156482,3,4.24409999996424,0,-15.75,14.25,30.0
9156482,4,5.24339999997616,1,3.5,30.0,26.5
9156482,5,2.67059999996424,1,17.5,30.0,12.5
9156482,6,9.68060000002384,0,-10.5,19.5,30.0
9156482,7,5.37240000003576,0,-12.25,17.75,30.0
9156482,8,6.87610000002384,0,3.5,33.5,30.0
9156482,9,3.54730000001192,0,-14.0,30.0,44.0
9156482,10,1.936,1,8.75,30.0,21.25
9156482,11,2.56930000001192,0,-19.25,10.75,30.0
9156482,12,1.90880000001192,1,-1.75,30.0,31.75
9156482,13,1.7825,1,7.0,30.0,23.0
9156482,14,1.5996999999880799,1,-5.25,30.0,35.25
9156482,15,3.77530000001192,1,0.0,30.0,30.0
9156482,16,2.32610000002384,0,-14.0,16.0,30.0
9156482,17,2.5244000000357603,0,-12.25,30.0,42.25
9156482,18,2.13639999997616,1,8.75,38.75,30.0
9156482,19,1.5011000000238401,0,7.0,37.0,30.0
9156482,20,1.505,1,1.75,30.0,28.25
9156482,21,6.98020000004768,0,-19.25,1.75,21.0
9156482,22,6.02510000002384,0,7.0,28.0,21.0
